LotFrontage,Alley,MasVnrType,MasVnrArea,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageQual,GarageCond,PoolQC,Fence,MiscFeature
83.0,,Stone,0.0,Gd,TA,Av,Unf,Unf,,Attchd,2007.0,RFn,TA,TA,,,
70.0,,,0.0,,,,,,,CarPort,1962.0,Unf,TA,TA,,,
50.0,,,0.0,TA,TA,No,Unf,Unf,Gd,BuiltIn,1929.0,RFn,TA,TA,,,
52.0,,,0.0,Gd,TA,Mn,Rec,Unf,,Detchd,1925.0,Unf,Fa,TA,,,
,,,0.0,TA,TA,No,ALQ,Rec,Po,Attchd,1960.0,RFn,TA,TA,,GdWo,
65.0,,,0.0,TA,TA,No,Unf,Unf,,Detchd,1967.0,Unf,TA,TA,,,
80.0,,,0.0,TA,TA,No,Rec,Unf,,Detchd,1963.0,Unf,TA,TA,,MnPrv,
32.0,,BrkFace,116.0,Ex,TA,No,GLQ,Unf,,Attchd,1998.0,Unf,TA,TA,,,
71.0,,,0.0,Ex,TA,No,ALQ,Unf,TA,BuiltIn,2001.0,Fin,TA,TA,,,
52.0,Grvl,,0.0,TA,TA,No,BLQ,Unf,,Detchd,1962.0,Unf,TA,TA,,,
70.0,,,0.0,TA,TA,No,Rec,Unf,,Attchd,1957.0,RFn,TA,TA,,,
71.0,,BrkFace,166.0,TA,TA,Mn,GLQ,Unf,,Detchd,1977.0,Unf,TA,TA,,MnPrv,
60.0,,,0.0,Gd,TA,No,GLQ,Unf,,Attchd,2005.0,Fin,TA,TA,,,
70.0,,,0.0,TA,TA,No,Unf,Unf,,Detchd,1974.0,Unf,TA,TA,,GdWo,
,,,0.0,Gd,TA,Av,ALQ,LwQ,Gd,Attchd,1976.0,Fin,TA,TA,,,
36.0,,,0.0,TA,TA,Av,BLQ,Unf,Fa,Attchd,1972.0,Unf,TA,TA,,,
34.0,Grvl,,0.0,TA,TA,No,Unf,Unf,,Detchd,1916.0,Unf,Fa,Fa,,,
35.0,,BrkFace,218.0,Gd,TA,No,GLQ,Unf,,Detchd,1999.0,Unf,TA,TA,,,
51.0,,,0.0,TA,TA,No,Unf,Unf,,Detchd,1995.0,Unf,TA,TA,,MnPrv,
44.0,,,0.0,Gd,TA,No,GLQ,Unf,TA,Attchd,1976.0,Unf,TA,TA,,,
108.0,,BrkFace,165.0,Gd,TA,No,Unf,Unf,TA,BuiltIn,1999.0,Fin,TA,TA,,,
71.0,,,0.0,TA,TA,No,ALQ,Unf,,Attchd,1983.0,Unf,TA,TA,,,
80.0,,BrkFace,360.0,TA,TA,Gd,GLQ,LwQ,,Attchd,1964.0,RFn,TA,TA,,,
37.0,,BrkFace,170.0,Gd,TA,Av,GLQ,Unf,,Attchd,2003.0,Fin,TA,TA,,,
56.0,,,0.0,Fa,TA,No,Unf,Unf,,,,,,,,,
85.0,,Stone,226.0,Gd,TA,Gd,GLQ,Unf,Gd,Attchd,2003.0,Fin,TA,TA,,,
50.0,,,0.0,TA,TA,No,Rec,Unf,,Attchd,1941.0,Unf,TA,TA,,,
95.0,,BrkFace,1115.0,Gd,TA,Gd,ALQ,Unf,Gd,Attchd,1973.0,Fin,TA,TA,,,
73.0,,BrkFace,442.0,Ex,TA,Av,GLQ,Unf,Gd,Attchd,2003.0,Fin,TA,TA,,,
59.0,Pave,,0.0,Gd,TA,Mn,GLQ,Unf,,Attchd,2004.0,RFn,TA,TA,,,
60.0,,,0.0,Fa,Fa,Mn,Unf,Unf,,Detchd,1920.0,Fin,TA,Fa,,,
40.0,,,0.0,TA,Fa,No,Unf,Unf,,,,,,,,MnPrv,
83.0,,Stone,450.0,Ex,TA,Av,GLQ,Unf,Gd,Attchd,2010.0,Fin,TA,TA,,,
50.0,,,0.0,TA,TA,No,Unf,Unf,,Detchd,1988.0,Unf,TA,TA,,,Shed
21.0,,BrkFace,80.0,TA,TA,No,Unf,Unf,,Attchd,1970.0,Unf,TA,TA,,,
118.0,,BrkFace,150.0,Gd,TA,No,Unf,Unf,TA,Attchd,2001.0,RFn,TA,TA,,,
80.0,,BrkFace,125.0,Gd,TA,No,GLQ,Unf,TA,Attchd,1993.0,RFn,TA,TA,,,
51.0,,BrkFace,130.0,Gd,TA,No,ALQ,Unf,TA,Attchd,2007.0,RFn,TA,TA,,,
103.0,,,0.0,Ex,TA,Mn,BLQ,GLQ,TA,Attchd,1991.0,RFn,TA,TA,,GdPrv,
64.0,,BrkFace,32.0,Gd,TA,Av,GLQ,Unf,Gd,Attchd,2006.0,RFn,TA,TA,,,
53.0,,BrkFace,72.0,Ex,TA,Av,Unf,Unf,Gd,Attchd,2007.0,Fin,TA,TA,,,
90.0,,BrkFace,234.0,Gd,TA,Mn,ALQ,BLQ,TA,Attchd,1990.0,RFn,TA,TA,,,
80.0,,BrkFace,387.0,TA,TA,No,Rec,Unf,Gd,Attchd,1957.0,RFn,TA,TA,,,
50.0,,,0.0,TA,TA,No,ALQ,Unf,,,,,,,,,
,,BrkFace,178.0,Gd,TA,Gd,Unf,Unf,TA,Attchd,2001.0,RFn,TA,TA,,,
100.0,,BrkCmn,272.0,TA,TA,No,Rec,Unf,TA,Attchd,1964.0,RFn,TA,TA,,GdPrv,
78.0,,Stone,468.0,Gd,TA,No,GLQ,Unf,Gd,Attchd,2007.0,RFn,TA,TA,,,
101.0,,BrkFace,305.0,Gd,TA,Gd,GLQ,Unf,Gd,Basment,1962.0,RFn,TA,TA,,,
65.0,,,0.0,TA,TA,No,GLQ,BLQ,Gd,Detchd,1973.0,Unf,TA,TA,,MnPrv,
107.0,,,,Ex,Gd,Gd,GLQ,Unf,Gd,Attchd,2006.0,Fin,TA,TA,,,
64.0,,,0.0,,,,,,,Attchd,1979.0,Unf,TA,TA,,,
63.0,,,0.0,Gd,TA,No,ALQ,Unf,,Detchd,2006.0,Unf,TA,TA,,,
50.0,,,0.0,TA,TA,No,ALQ,Unf,,Detchd,1930.0,Unf,TA,TA,,,
,,,,Gd,TA,No,GLQ,Unf,TA,BuiltIn,2002.0,Fin,TA,TA,,,
53.0,,,0.0,TA,TA,No,Rec,Unf,Gd,Detchd,1941.0,Unf,TA,TA,,MnPrv,
65.0,,,0.0,TA,TA,No,BLQ,Unf,TA,Detchd,1981.0,Unf,TA,TA,,MnPrv,
61.0,,BrkCmn,192.0,TA,TA,Mn,Rec,Unf,,Attchd,1961.0,Unf,TA,TA,,,
65.0,,,0.0,Gd,TA,No,GLQ,Unf,,Attchd,1996.0,Unf,TA,TA,,,
,,BrkFace,232.0,TA,TA,Av,ALQ,LwQ,Po,Attchd,1969.0,RFn,TA,TA,,MnPrv,Shed
,Pave,,0.0,TA,TA,No,Unf,Unf,,Detchd,1930.0,Unf,TA,TA,,,
85.0,,BrkFace,296.0,Gd,TA,No,GLQ,,Gd,Attchd,2003.0,RFn,TA,TA,,,
98.0,,,0.0,TA,TA,No,LwQ,Unf,,Detchd,1963.0,Unf,TA,TA,,MnWw,
80.0,,BrkFace,168.0,TA,TA,No,Unf,Unf,,Attchd,1969.0,Unf,TA,TA,,,
24.0,,,0.0,TA,TA,No,ALQ,Rec,Fa,Attchd,1974.0,Unf,TA,TA,,,
93.0,,BrkFace,125.0,Gd,TA,No,Unf,Unf,,Attchd,1999.0,RFn,TA,TA,,,
,,BrkFace,180.0,TA,TA,No,Rec,Unf,,Attchd,1959.0,RFn,TA,TA,,MnPrv,
84.0,,,0.0,Gd,TA,No,Unf,Unf,,Attchd,2007.0,Fin,TA,TA,,,
60.0,,BrkFace,206.0,TA,Fa,No,BLQ,Unf,Gd,Detchd,1948.0,Unf,TA,TA,,,
107.0,,,0.0,Fa,TA,Mn,BLQ,Unf,,CarPort,1920.0,Unf,Fa,Fa,,,
,,BrkFace,312.0,TA,TA,No,BLQ,Unf,TA,Attchd,1939.0,Unf,TA,TA,,,
98.0,,Stone,200.0,Ex,TA,No,GLQ,Unf,Gd,Attchd,2008.0,RFn,TA,TA,,,
65.0,,,0.0,TA,TA,No,BLQ,Unf,TA,Attchd,1961.0,Unf,TA,TA,,,
120.0,,,0.0,TA,TA,No,Rec,Unf,TA,Basment,1935.0,Unf,TA,TA,,,
50.0,Grvl,,0.0,TA,TA,No,LwQ,Unf,,Detchd,1948.0,Unf,TA,TA,,MnWw,
59.0,,,0.0,TA,TA,No,Unf,Unf,Gd,Detchd,1920.0,Unf,TA,TA,,MnPrv,
44.0,,Stone,174.0,Ex,TA,Gd,GLQ,Unf,Gd,Attchd,2004.0,Fin,TA,TA,,,
100.0,,BrkFace,180.0,TA,TA,No,Rec,BLQ,,Attchd,1964.0,RFn,TA,TA,,,
87.0,,,0.0,Gd,TA,No,ALQ,BLQ,TA,Attchd,1990.0,Unf,TA,TA,,,
60.0,,,0.0,TA,TA,No,Unf,Unf,,Detchd,1940.0,Unf,TA,TA,,,
98.0,,BrkFace,362.0,Ex,TA,Av,GLQ,Unf,TA,Attchd,1994.0,RFn,TA,TA,,,
77.0,,Stone,340.0,Ex,TA,Gd,GLQ,Unf,TA,BuiltIn,2006.0,RFn,TA,TA,,,
75.0,,BrkFace,202.0,Gd,TA,Av,ALQ,Unf,TA,Attchd,1998.0,Fin,TA,TA,,,
130.0,,,0.0,TA,Fa,No,Rec,Unf,TA,Detchd,1940.0,Unf,TA,TA,,,
77.0,,BrkFace,336.0,Gd,TA,No,Unf,Unf,TA,Attchd,1985.0,Fin,TA,TA,,,
69.0,,BrkFace,85.0,TA,TA,No,Rec,BLQ,,2Types,1998.0,RFn,TA,TA,,MnWw,
83.0,,,0.0,Ex,TA,Av,Unf,Unf,,Attchd,2009.0,RFn,TA,TA,,,
21.0,,BrkFace,281.0,TA,TA,No,BLQ,Unf,,Detchd,1972.0,Unf,TA,TA,,,
,,BrkCmn,41.0,TA,TA,No,Unf,Unf,,Attchd,1966.0,Unf,TA,TA,,MnPrv,
60.0,,,0.0,TA,TA,Mn,LwQ,Unf,,Detchd,1965.0,Unf,TA,TA,,,
50.0,,,0.0,,,,,,,,,,,,,,
90.0,,,0.0,Gd,TA,No,Unf,Unf,,,,,,,,,
96.0,,,0.0,Gd,TA,Mn,Unf,Unf,,Detchd,1914.0,Unf,Fa,Fa,,,
68.0,,,0.0,TA,Fa,No,Unf,Unf,,Attchd,1958.0,Unf,TA,TA,,,
100.0,,,0.0,TA,TA,No,ALQ,Unf,Fa,Attchd,1974.0,Unf,TA,TA,,MnPrv,
73.0,,BrkFace,228.0,Gd,TA,Av,Unf,Unf,,Attchd,2005.0,RFn,TA,TA,,,
40.0,,,0.0,TA,TA,No,ALQ,Unf,,,,,,,,,
59.0,,Stone,146.0,Gd,TA,Av,GLQ,Unf,Gd,Attchd,2004.0,RFn,TA,TA,,,
120.0,,BrkFace,216.0,Fa,Fa,No,Unf,Unf,TA,Attchd,1968.0,RFn,TA,TA,,,
93.0,,Stone,100.0,Ex,TA,Gd,GLQ,Unf,Gd,Attchd,2006.0,Fin,TA,TA,,,
140.0,,,0.0,TA,TA,No,LwQ,Unf,,Detchd,1951.0,Unf,TA,TA,,,
60.0,,,0.0,TA,TA,No,Rec,Unf,TA,Detchd,1956.0,Unf,TA,TA,,,
63.0,,,0.0,TA,TA,No,Unf,Unf,,Attchd,1940.0,Unf,Fa,TA,,,
104.0,,BrkFace,160.0,Gd,TA,No,ALQ,Unf,TA,Attchd,1976.0,Fin,TA,TA,,MnPrv,
82.0,,BrkFace,206.0,Gd,TA,No,ALQ,Unf,TA,Attchd,1978.0,RFn,TA,TA,,,
,Grvl,,0.0,TA,TA,No,Rec,Unf,,Detchd,1926.0,Unf,TA,TA,,,
58.0,,,0.0,Gd,TA,Av,Unf,Unf,Gd,BuiltIn,2006.0,Fin,TA,TA,,,
,,Stone,126.0,Gd,TA,No,ALQ,Unf,TA,Attchd,1977.0,Fin,TA,TA,,,
65.0,,,0.0,TA,TA,No,GLQ,BLQ,Gd,Detchd,1973.0,Unf,TA,TA,,MnPrv,
50.0,,,0.0,,,,,,,,,,,,,,
84.0,,BrkFace,350.0,Gd,TA,Av,GLQ,Unf,TA,Attchd,2000.0,RFn,TA,TA,,,
70.0,,,0.0,Gd,TA,Gd,GLQ,Unf,,,,,,,,,
73.0,,,0.0,Gd,TA,Mn,Unf,Unf,,Attchd,2006.0,RFn,TA,TA,,,
40.0,,,0.0,TA,TA,No,BLQ,Unf,,Detchd,1922.0,Unf,TA,TA,,MnPrv,
88.0,,,0.0,TA,TA,Av,ALQ,Unf,,Detchd,1987.0,Unf,TA,TA,,MnPrv,Shed
107.0,,Stone,436.0,Ex,TA,Gd,GLQ,Unf,Gd,Attchd,2007.0,RFn,TA,TA,,,
118.0,,BrkFace,150.0,Gd,TA,No,Unf,Unf,TA,Attchd,2001.0,RFn,TA,TA,,,
60.0,,BrkFace,246.0,Ex,TA,No,GLQ,Unf,Gd,Attchd,2005.0,Fin,TA,TA,,,
,,,0.0,Gd,TA,No,Unf,Unf,,Attchd,1987.0,RFn,TA,TA,,,
,,,0.0,TA,TA,No,Rec,Unf,TA,,,,,,,GdWo,
50.0,,,0.0,Fa,Fa,Mn,Unf,Unf,TA,Detchd,1954.0,Unf,TA,TA,,,
75.0,,,0.0,TA,TA,No,Unf,Unf,Gd,Detchd,1908.0,Unf,Fa,TA,,,
60.0,,,0.0,TA,TA,No,ALQ,Unf,,Detchd,1940.0,Unf,TA,TA,,,
53.0,,BrkFace,72.0,Ex,TA,Av,Unf,Unf,Gd,Attchd,2007.0,Fin,TA,TA,,,
83.0,,,0.0,Ex,TA,Av,Unf,Unf,,Attchd,2009.0,RFn,TA,TA,,,
60.0,,,0.0,TA,TA,No,Rec,Unf,,Detchd,1957.0,Unf,TA,TA,,,
,,,0.0,TA,TA,No,BLQ,Unf,,Attchd,1973.0,RFn,TA,TA,,,
66.0,Pave,BrkFace,1600.0,Gd,TA,No,BLQ,Unf,TA,Detchd,1997.0,RFn,TA,TA,,,
82.0,,BrkFace,70.0,TA,TA,No,Unf,Unf,,2Types,1989.0,Unf,TA,TA,,,
50.0,,,0.0,TA,TA,No,Rec,Unf,,Attchd,1957.0,Fin,TA,TA,,,
78.0,,,0.0,TA,TA,No,Unf,Unf,Gd,Attchd,1948.0,Unf,TA,TA,,,
,,,0.0,TA,TA,No,ALQ,Unf,,Attchd,1956.0,RFn,TA,TA,,,
64.0,,Stone,72.0,Gd,TA,Av,Unf,Unf,,Attchd,2008.0,RFn,TA,TA,,,
82.0,,BrkFace,466.0,Ex,Gd,No,Unf,Unf,Gd,BuiltIn,2006.0,Fin,TA,TA,,,
69.0,,,0.0,TA,TA,No,Rec,Unf,TA,Attchd,1957.0,Fin,TA,TA,,MnWw,
53.0,,,0.0,Gd,Gd,Av,GLQ,Unf,Gd,Attchd,2006.0,Fin,TA,TA,,,
50.0,,,0.0,TA,TA,No,BLQ,GLQ,,Detchd,1948.0,Unf,TA,TA,,MnPrv,
67.0,,,,Gd,TA,No,GLQ,Unf,,Attchd,2003.0,RFn,TA,TA,,,
75.0,,Stone,36.0,Gd,TA,Av,GLQ,Unf,,Attchd,2008.0,RFn,TA,TA,,,
,,,0.0,Gd,TA,No,GLQ,Unf,Gd,Attchd,1992.0,RFn,TA,TA,,,
60.0,,,0.0,TA,TA,No,Unf,Unf,Gd,Detchd,1926.0,Unf,TA,TA,,,
,,,0.0,Gd,TA,No,ALQ,Unf,TA,Attchd,1977.0,RFn,TA,TA,,,
105.0,,,0.0,TA,Fa,No,Unf,Unf,,,,,,,,MnPrv,
70.0,,,0.0,TA,TA,No,Unf,Unf,,Detchd,1974.0,Unf,TA,TA,,GdWo,
71.0,,BrkFace,166.0,TA,TA,Mn,GLQ,Unf,,Detchd,1977.0,Unf,TA,TA,,MnPrv,
,Pave,,0.0,TA,TA,No,Rec,Unf,,Detchd,1940.0,Unf,TA,TA,,,
92.0,,BrkFace,84.0,Ex,TA,No,Unf,Unf,Gd,BuiltIn,2009.0,Fin,TA,TA,,,
59.0,,,0.0,TA,TA,No,Unf,Unf,,Attchd,1955.0,Unf,TA,TA,,,
60.0,,BrkFace,136.0,Gd,TA,No,Rec,Unf,,,,,,,,,
99.0,,,0.0,TA,TA,No,Rec,LwQ,,Detchd,1966.0,RFn,TA,TA,,MnPrv,
,,,344.0,Gd,TA,No,GLQ,Unf,TA,Attchd,1999.0,Fin,TA,TA,,,
108.0,,BrkFace,165.0,Gd,TA,No,Unf,Unf,TA,BuiltIn,1999.0,Fin,TA,TA,,,
50.0,Grvl,,0.0,TA,TA,No,LwQ,Unf,,Detchd,1948.0,Unf,TA,TA,,MnWw,
,,BrkFace,30.0,TA,TA,No,BLQ,Unf,Gd,Attchd,1960.0,Unf,TA,TA,,,
73.0,,,0.0,TA,TA,No,GLQ,Unf,,Detchd,1957.0,Unf,TA,TA,,,
75.0,,BrkFace,243.0,TA,TA,No,Rec,Unf,,Attchd,1958.0,RFn,TA,TA,,,Shed
24.0,,,0.0,Gd,TA,No,LwQ,GLQ,TA,Attchd,1980.0,Fin,TA,TA,,GdPrv,
80.0,,BrkFace,237.0,TA,TA,No,Unf,Unf,Gd,Attchd,1962.0,RFn,TA,TA,,GdPrv,
60.0,,,0.0,TA,Fa,Mn,Rec,Unf,Gd,Detchd,1900.0,Unf,TA,TA,,,
,,BrkFace,571.0,TA,TA,No,Unf,Unf,TA,Attchd,1970.0,RFn,TA,TA,,,
60.0,,,0.0,TA,TA,Mn,Unf,Unf,Po,Detchd,2003.0,Unf,TA,TA,,MnPrv,Shed
98.0,,BrkFace,975.0,Gd,TA,No,GLQ,Unf,TA,Attchd,1998.0,Fin,TA,TA,,,
70.0,,BrkFace,113.0,Gd,TA,Av,GLQ,Unf,,Attchd,2002.0,RFn,TA,TA,,,
60.0,,,0.0,TA,TA,Mn,Rec,Unf,,Detchd,1939.0,Unf,TA,TA,,MnPrv,
60.0,Grvl,,0.0,TA,TA,No,LwQ,BLQ,,Detchd,1977.0,Unf,TA,TA,,,
87.0,,Stone,250.0,Ex,TA,Av,Unf,Unf,Gd,Attchd,2006.0,RFn,TA,TA,,,
63.0,,,0.0,TA,TA,No,ALQ,Unf,,Detchd,1976.0,Unf,TA,TA,,,
91.0,,BrkFace,368.0,TA,TA,No,LwQ,Unf,,Detchd,1969.0,Unf,TA,TA,,,
50.0,,,0.0,TA,TA,No,ALQ,Unf,,Detchd,1981.0,Unf,TA,TA,,,
60.0,,,0.0,,,,,,,Detchd,1946.0,Unf,TA,TA,,,
90.0,,BrkFace,256.0,Gd,TA,Gd,GLQ,Unf,TA,Attchd,1993.0,RFn,TA,TA,,,
,,,0.0,Gd,TA,No,Unf,Unf,TA,BuiltIn,1993.0,RFn,TA,TA,,MnPrv,
61.0,,,0.0,TA,TA,No,BLQ,LwQ,,Detchd,1981.0,Unf,TA,TA,,,
75.0,,,0.0,TA,TA,No,BLQ,LwQ,,Attchd,1965.0,Fin,TA,TA,,,
50.0,,,0.0,TA,TA,No,Unf,Unf,Gd,Detchd,1969.0,Unf,TA,TA,,,
,,Stone,351.0,Gd,TA,Gd,GLQ,Unf,TA,Attchd,1971.0,Unf,TA,TA,,,
74.0,,,0.0,TA,TA,Av,ALQ,Unf,,Detchd,1996.0,Unf,TA,TA,,,
,,BrkCmn,621.0,TA,TA,Av,Rec,Unf,,Attchd,1964.0,Unf,TA,TA,,,
82.0,,,0.0,Gd,TA,No,GLQ,Unf,,Detchd,2000.0,Unf,TA,TA,,GdPrv,
105.0,,,0.0,Gd,TA,No,Unf,Unf,,Attchd,2006.0,RFn,TA,TA,,,
100.0,,Stone,760.0,Ex,TA,Gd,GLQ,Unf,Gd,Attchd,2009.0,Fin,TA,TA,,,
69.0,,Stone,270.0,Ex,TA,No,Unf,Unf,Gd,BuiltIn,2007.0,Fin,TA,TA,,,
,,,0.0,Gd,TA,No,Unf,Unf,TA,Attchd,1994.0,Fin,TA,TA,,,Shed
80.0,,,0.0,TA,TA,No,BLQ,LwQ,,Attchd,1954.0,Unf,TA,TA,,,
,,,0.0,Gd,TA,Av,BLQ,ALQ,,Attchd,1983.0,Unf,TA,TA,,MnPrv,
128.0,,BrkFace,90.0,TA,TA,No,BLQ,Unf,TA,Attchd,1953.0,RFn,TA,TA,,,
21.0,,BrkFace,142.0,TA,TA,No,Unf,Unf,,Detchd,1991.0,Unf,TA,TA,,,
,,Stone,288.0,TA,TA,Gd,ALQ,Unf,Gd,Attchd,1965.0,Unf,TA,TA,,GdPrv,
80.0,,BrkFace,42.0,Gd,TA,No,GLQ,Unf,TA,Attchd,1988.0,Unf,TA,TA,,MnPrv,Shed
,,BrkFace,359.0,Gd,TA,Av,ALQ,Unf,Gd,Attchd,1967.0,RFn,TA,TA,,,
65.0,,,0.0,Gd,Gd,No,Unf,Unf,,Attchd,2006.0,RFn,TA,TA,,,
69.0,,Stone,270.0,Ex,TA,No,Unf,Unf,Gd,BuiltIn,2007.0,Fin,TA,TA,,,
81.0,,,0.0,Gd,Gd,No,Unf,Unf,Gd,Attchd,2006.0,RFn,TA,TA,,,
,,,0.0,TA,TA,No,Unf,Unf,Gd,Detchd,1982.0,Unf,TA,TA,,,
60.0,,,0.0,TA,TA,No,Rec,Unf,Gd,Detchd,1925.0,Unf,TA,TA,,,
96.0,,BrkFace,651.0,Gd,TA,Gd,GLQ,Unf,TA,Attchd,1993.0,RFn,TA,TA,,,
107.0,,Stone,436.0,Ex,TA,Gd,GLQ,Unf,Gd,Attchd,2007.0,RFn,TA,TA,,,
